"message_id","text","label","label_text","subject","message","date","email_length","word_count","num_links","num_exclamations","num_dollars","num_upper_words","num_spam_words","has_numbers","subject_length","num_lines"
"33214","any software just for 15 $ - 99 $ understanding oem software lead me not into temptation ; i can find the way myself . # 3533 . the law disregards trifles .","1","spam","any software just for 15 $ - 99 $","understanding oem software lead me not into temptation ; i can find the way myself . # 3533 . the law disregards trifles .","2005-06-18","156","33","0","0","2","0","0","1","33","1"
"11929","perspective on ferc regulatory action client conf call today , jun e 19 th , 2 : 00 pm edt perspective on ferc regulatory action client conference call today , tuesday , june 19 th 2 : 00 pm edt host : ray niles , power / natural gas analyst speaker : steve bergstrom , president & coo of dynegy steve bergstrom , president and chief operating officer of dynegy , will join us at 2 : 00 p . m . today for a conference call discussion of the recent ferc action imposing price controls in the west . the discussion will be followed by q & a . questions to be explored include : what are the implications of the ferc action , for dyn and the industry as a whole ? what is the earnings impact ? what are the risks of further re - regulation ? and whatever else is on your minds we attach two recent notes on the ferc action for your reference . call in replay reservation 800 - 229 - 0281 us 800 - 642 - 1687 us 1073259 706 - 645 - 9237 int ' l 706 - 645 - 9291 int ' l replay until 6 / 22 , 11 : 59 pm raymond c . niles power / natural gas research salomon smith barney ( 212 ) 816 - 2807 ray . niles @ ssmb . com s","0","ham","perspective on ferc regulatory action client conf call today , jun e","19 th , 2 : 00 pm edt perspective on ferc regulatory action client conference call today , tuesday , june 19 th 2 : 00 pm edt host : ray niles , power / natural gas analyst speaker : steve bergstrom , president & coo of dynegy steve bergstrom , president and chief operating officer of dynegy , will join us at 2 : 00 p . m . today for a conference call discussion of the recent ferc action imposing price controls in the west . the discussion will be followed by q & a . questions to be explored include : what are the implications of the ferc action , for dyn and the industry as a whole ? what is the earnings impact ? what are the risks of further re - regulation ? and whatever else is on your minds we attach two recent notes on the ferc action for your reference . call in replay reservation 800 - 229 - 0281 us 800 - 642 - 1687 us 1073259 706 - 645 - 9237 int ' l 706 - 645 - 9291 int ' l replay until 6 / 22 , 11 : 59 pm raymond c . niles power / natural gas research salomon smith barney ( 212 ) 816 - 2807 ray . niles @ ssmb . com s","2001-06-19","1112","239","0","0","0","0","0","1","68","1"
"19784","wanted to try ci 4 lis but thought it was way too expensive for you ? viagra at $ 1 . 12 per dose ready to boost your sex life ? positive ? time to do it right now . order viagra at incredibly low prices $ 1 . 12 per dose . unbelivable remove","1","spam","wanted to try ci 4 lis but thought it was way too expensive for you ?","viagra at $ 1 . 12 per dose ready to boost your sex life ? positive ? time to do it right now . order viagra at incredibly low prices $ 1 . 12 per dose . unbelivable remove","2004-09-11","242","55","0","0","2","0","0","1","69","1"
"2209","enron / hpl actuals for december 11 , 2000 teco tap 30 . 000 / enron ; 120 . 000 / hpl gas daily ls hpl lsk ic 30 . 000 / enron","0","ham","enron / hpl actuals for december 11 , 2000","teco tap 30 . 000 / enron ; 120 . 000 / hpl gas daily ls hpl lsk ic 30 . 000 / enron","2000-12-12","127","33","0","0","0","0","0","1","42","1"
"15880","looking for cheap high - quality software ? rotated napoleonizes water past also , burn , course . gave country , mass lot . act north good . from , learn form most brother vary . when more for . up stick , century put , song be . test , describe , plain , against wood star . began dress ever group . here oh , most world stay .","1","spam","looking for cheap high - quality software ? rotated napoleonizes","water past also , burn , course . gave country , mass lot . act north good . from , learn form most brother vary . when more for . up stick , century put , song be . test , describe , plain , against wood star . began dress ever group . here oh , most world stay .","2005-02-13","329","71","0","0","0","0","1","0","64","1"
"15726","emerging growth stock profile vera , vcsc - brand new stock for your attention vocalscape inc - the stock symbo | is : vcsc breaking news released by the company on friday after the ciose - watch out the stock go crazy next week . current price : $ 0 . 175 projected speculative price in next 5 days : $ 0 . 42 projected specuiative price in next 15 days : $ 0 . 55 vocalscape networks inc . is building a company that ' s revoiutionizing the teiecommunications industry with the most affordable phone systems , hardware , oniine software , and rates in canada and the us . vocaiscape , a company with giobal reach , is receiving international attention for the development of voice over ip ( voip ) application soiutions , inciuding the award - w i n ning eyefontm , a softphone for rea | - time pc - to - phone . we are an advanced impiementer of pbx systems for companies , ca | | centers , itsps and service providers . vocalscape has created software and interactive soiutions revoiving around giobal communications and data voice convergence . companies use vocalscape for voice over internet protocol applications | ike ip pbxs , softswitches , pc 2 phone and web 2 phone , providing rea | - time human interaction and information deiivery over the internet . through vocalscape ' s soiutions , businesses can offer a quality voice service to anywhere in the world at rates that are significantly lower than current | ong distance charges . we develop software to run voip networks , and seil , instail and service our own branded voip gateways and gatekeeper contro | software . we also license our software to customers who want to brand their own voip solutions . vocaiscape is committed to making great technoiogy ; chalienging the status quo , and buiiding a 21 st century company that changes the way businesses communicate and interact through the internet . current price : $ o . 175 projected speculative price in next 5 days : $ 0 . 42 projected specuiative price in next 15 days : $ o . 55 check out the breaking news for vcsc at finance . yahoo . com read the legal notes before you do anything eise : information within this email contains "" forward looking statements "" within the meaning of section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . any statements that express or invoive discussions with respect to predictions , expectations , beliefs , pians , projections , objectives , goais , assumptions or future events or performance are not statements of historica | fact and may be "" forward | ooking statements . "" forward looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which couid cause actual resuits or events to differ materialiy from those presently anticipated . forward looking statements in this action may be identified through the use of words such as "" projects "" , "" foresee "" , "" expects "" , "" wil | , "" "" anticipates , "" "" estimates , "" "" believes , "" "" understands "" or that by statements indicating certain actions "" may , "" "" could , "" or "" might "" occur . as with many microcap stocks , today ' s company has additional risk factors worth noting . today ' s featured company is not a reporting company registered under the securities act of 1934 and hence there is limited information avaiiable about the company . other factors include a limited operating history , an accumulated deficit since its inception , reliance on | oans from officers and directors to pay expenses , a nomina | cash position , and no revenue in its most recent quarter . it is not currently an operating company . the company has two smal | items in co | | ection against it . the company is going to need financing . if that financing does not occur , the company may not be able to continue as a going concern in which case you could | ose your entire investment . other risks and uncertainties include , but are not | imited to , the abiiity of the company to complete its business plan , market conditions , the general acceptance of the company ' s products and technoiogies , competitive factors , timing , and other risks associated with their business . the publisher of this newsletter does not represent that the information contained in this message states a | | materia | facts or does not omit a materia | fact necessary to make the statements therein not misieading . all information provided within this email pertaining to investing , stocks , securities must be understood as information provided and not investment advice . the publisher of this newsletter advises al | readers and subscribers to seek advice from a registered professional securities representative before deciding to trade in stocks featured within this email . none of the material within this report shail be construed as any kind of investment advice or soiicitation . many of these companies are on the verge of bankruptcy . you can | ose all your money by investing in this stock . the pubiisher of this newsletter is not a re gister ed in vest ment @ dvisor . subscribers should not view information herein as legal , tax , accounting or investment advice . any reference to past performance ( s ) of companies are specially seiected to be referenced based on the favorable performance of these companies . you would need perfect timing to acheive the resuits in the examples given . there can be no assurance of that happening . remember , as always , past performance is n e v e r indicative of future results and a thorough due diiigence effort , including a review of a company ' s fiiings when availabie , should be completed prior to investing . in compiiance with the securities act of 1933 , sectionl 7 ( b ) , the publisher of this newsletter discloses the receipt of eight thousand dollars from a third party , not an officer , director or affiliate sharehoider for the circuiation of this report . be aware of an inherent conflict of interest resuiting from such compensation due to the fact that this is a paid advertisement and is not without bias . the party that paid us has a position in the stock they wi | | se | | at anytime without notice . this couid have a negative impact on the price of the stock . ail factual information in this report was gathered from public sources , inciuding but not | imited to company websites and company press releases . the pubiisher of this newsietter believes this information to be reiiabie but can make no guaranteee as to its accuracy or completeness . use of the material within this emai | constitutes your acceptance of these terms . if you wish to stop future maiiings , or if you feel you have been wrongfu | | y placed in our l i s t , piease go here ( - aol 978987 sdfuoisduf . com / optl / rm . html - )","1","spam","emerging growth stock profile","vera , vcsc - brand new stock for your attention vocalscape inc - the stock symbo | is : vcsc breaking news released by the company on friday after the ciose - watch out the stock go crazy next week . current price : $ 0 . 175 projected speculative price in next 5 days : $ 0 . 42 projected specuiative price in next 15 days : $ 0 . 55 vocalscape networks inc . is building a company that ' s revoiutionizing the teiecommunications industry with the most affordable phone systems , hardware , oniine software , and rates in canada and the us . vocaiscape , a company with giobal reach , is receiving international attention for the development of voice over ip ( voip ) application soiutions , inciuding the award - w i n ning eyefontm , a softphone for rea | - time pc - to - phone . we are an advanced impiementer of pbx systems for companies , ca | | centers , itsps and service providers . vocalscape has created software and interactive soiutions revoiving around giobal communications and data voice convergence . companies use vocalscape for voice over internet protocol applications | ike ip pbxs , softswitches , pc 2 phone and web 2 phone , providing rea | - time human interaction and information deiivery over the internet . through vocalscape ' s soiutions , businesses can offer a quality voice service to anywhere in the world at rates that are significantly lower than current | ong distance charges . we develop software to run voip networks , and seil , instail and service our own branded voip gateways and gatekeeper contro | software . we also license our software to customers who want to brand their own voip solutions . vocaiscape is committed to making great technoiogy ; chalienging the status quo , and buiiding a 21 st century company that changes the way businesses communicate and interact through the internet . current price : $ o . 175 projected speculative price in next 5 days : $ 0 . 42 projected specuiative price in next 15 days : $ o . 55 check out the breaking news for vcsc at finance . yahoo . com read the legal notes before you do anything eise : information within this email contains "" forward looking statements "" within the meaning of section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . any statements that express or invoive discussions with respect to predictions , expectations , beliefs , pians , projections , objectives , goais , assumptions or future events or performance are not statements of historica | fact and may be "" forward | ooking statements . "" forward looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which couid cause actual resuits or events to differ materialiy from those presently anticipated . forward looking statements in this action may be identified through the use of words such as "" projects "" , "" foresee "" , "" expects "" , "" wil | , "" "" anticipates , "" "" estimates , "" "" believes , "" "" understands "" or that by statements indicating certain actions "" may , "" "" could , "" or "" might "" occur . as with many microcap stocks , today ' s company has additional risk factors worth noting . today ' s featured company is not a reporting company registered under the securities act of 1934 and hence there is limited information avaiiable about the company . other factors include a limited operating history , an accumulated deficit since its inception , reliance on | oans from officers and directors to pay expenses , a nomina | cash position , and no revenue in its most recent quarter . it is not currently an operating company . the company has two smal | items in co | | ection against it . the company is going to need financing . if that financing does not occur , the company may not be able to continue as a going concern in which case you could | ose your entire investment . other risks and uncertainties include , but are not | imited to , the abiiity of the company to complete its business plan , market conditions , the general acceptance of the company ' s products and technoiogies , competitive factors , timing , and other risks associated with their business . the publisher of this newsletter does not represent that the information contained in this message states a | | materia | facts or does not omit a materia | fact necessary to make the statements therein not misieading . all information provided within this email pertaining to investing , stocks , securities must be understood as information provided and not investment advice . the publisher of this newsletter advises al | readers and subscribers to seek advice from a registered professional securities representative before deciding to trade in stocks featured within this email . none of the material within this report shail be construed as any kind of investment advice or soiicitation . many of these companies are on the verge of bankruptcy . you can | ose all your money by investing in this stock . the pubiisher of this newsletter is not a re gister ed in vest ment @ dvisor . subscribers should not view information herein as legal , tax , accounting or investment advice . any reference to past performance ( s ) of companies are specially seiected to be referenced based on the favorable performance of these companies . you would need perfect timing to acheive the resuits in the examples given . there can be no assurance of that happening . remember , as always , past performance is n e v e r indicative of future results and a thorough due diiigence effort , including a review of a company ' s fiiings when availabie , should be completed prior to investing . in compiiance with the securities act of 1933 , sectionl 7 ( b ) , the publisher of this newsletter discloses the receipt of eight thousand dollars from a third party , not an officer , director or affiliate sharehoider for the circuiation of this report . be aware of an inherent conflict of interest resuiting from such compensation due to the fact that this is a paid advertisement and is not without bias . the party that paid us has a position in the stock they wi | | se | | at anytime without notice . this couid have a negative impact on the price of the stock . ail factual information in this report was gathered from public sources , inciuding but not | imited to company websites and company press releases . the pubiisher of this newsietter believes this information to be reiiabie but can make no guaranteee as to its accuracy or completeness . use of the material within this emai | constitutes your acceptance of these terms . if you wish to stop future maiiings , or if you feel you have been wrongfu | | y placed in our l i s t , piease go here ( - aol 978987 sdfuoisduf . com / optl / rm . html - )","2005-01-18","6843","1264","0","0","6","0","2","1","29","1"
"21384","internet provider abuse i noticed that you have visited illegal websites . see the name in the list ! + + + + attachment : no virus found + + + + norman antivirus - www . norman . com","1","spam","internet provider abuse","i noticed that you have visited illegal websites . see the name in the list ! + + + + attachment : no virus found + + + + norman antivirus - www . norman . com","2005-02-24","183","40","0","1","0","0","0","0","23","1"
"9556","[ avfs ] romanian software production & export to : avfs @ fazekas . hu attn : marketing department from : i . q . software - bucharest ref . : romanian software production & export our anti - spamming company policy : never bother you again to remove your e - mail address from the present contact list just do not reply to this message . if you receive this message by mistake and / or you are not interested in the following brief presentation , please accept our apologies . this is a world - wide promotion campaign . the selected e - mail addresses are extracted only from the commercial websites of the targeted markets . we would like to offer you for consideration our brief presentation . we are looking for a marketplace in your country . to communicate with us please reply using the plain text format in the body of the message > > > mentioning your specific inquiry / offering demand > > company name , address , phone - man - power ; - data - entry ; - mapdrawing ; - outsourcing . * so that you would be able to have an idea of our skills we present you some of our current projects : the situs system ( informative of tribunals bureaus of supervision ) was realized for informative administration of activities typical for tribunals and bureaus of supervision for ministry of justice - italy ( microsoft visual basic 6 . 0 , database : oracle 8 . 0 ) . the ice system foresaw the resigtering of the italian - romanian companies on romanian territory . the application is constituted by a browser which allows the navigation and provides some additional skills , advanced search on varied criterious which are created in a dynamic way by the user ( visualbasic 6 . 0 , database : access 97 ) . museum - the main request from the museum was to handle ( multimedia ) documents in specific formats on different operating system and platforms ( c + + , html , corba idl , orb : orbacus ) . library ( national library of firenze ) - informatical system for managing and labeling the ancient bibliographical materials ( power builder , database : oracle ) . interflora - communication and management system ; consists in some applications and services which allows the communication between the flowerist man from italy and international association of flowerists ( visual basic 6 . 0 ) . audit office - the realization of a porting which foresaw 16 bit controls for substitution with 32 bit controls , introduction of new activex controls , substitution of formula 1 with native controls of visual basic 6 . 0 . unico - the program foresaw the possibility of acquisition from images of more than 60 models of unico and iva ( fiscal declarations ) - ( delphi 4 . 0 . database : sql ) . ministry of finance - fiscal documentation - the objective is the easy access to the italian legislation and its consulting . the application based on a client / server architecture , using a network communication ( sockets ) for data exchange with the server ( visual c + + ) . foreign ministry - economical application - this application is conceived as a group of projects . administration balance - sheets dispositions of payment foreign expenses synthetically dates servers ( visual basic 6 . 0 , database : sql server 7 . 0 ) sogei - the administration of the custom houses . this application is created for the financial administration of the peripherical offices at the customhouse ( java , html , database : oracle 8 . 0 ) . iccrea - application of processing development of the bank - procedures on mainframe ( cobol / cics / db 2 ) . telecom - microfilm data acquisition . registering numbers and subscribers . anagrafica - acquisition from images of dates and personal information . italian ministry of finance - data acquisition from images of medical prescription . iq register - acquisition of information from images and optics archives of documentation . * we had been offering for the entire veneto region , the following professional system engineers : ambiente bull gcos 8 : systematical and special assistance in interel rfm , sql , infoedge . ambiente bull / reti : systematical and special assistance of regional networks for datanet , l . a . n . , x . 25 , dsa , mainway transmission , telematical networks . ambiente unix : 2 unix system operators with knowledge of gcos 6 . * we have been offering for the meteorology institute of padova the following professional system engineers : ambiente digital / unix : systematical and special assistance for dec vax / vms and unix systems with strong enough knowledge of informix and c programming . ambiente / decnet / windows : systematical and special assistance for dec vax / vms and windows with knowledge in financial administration of local networks , in financial administration and configuration of communication systems ( router , bridge , gateway , etc ) and of products of exchange data , in financial administration and configuration of interface systems of internet . therefore , to increase our presence to the international market we took part in the inter - governmental program between the united states and romania . thus , we participated to the international meeting of both romanian and american it companies on lst november 2001 due to the kind initiative of both governments . the reason of this program , of the meeting mentioned above and of the initiatives that followed was to offer a new way for outsourcing , more convenient than the indian one to american software companies . our company , already present on american market , is interested to be a potential partner and one of most interested in cooperating with american it companies . our main interest is both on the american and european market . our managing staff after visiting italy managed to establish relations with this country for our curent projects . on the other side a marketing tour has already been established in the usa in the month of may for any possible projects . that is why we might be able to directly discuss with you any new project . we ' d appreciate your feed - back containing detailed contact coordinates : company name , address , phone and fax numbers , contact person , web - site . our area of interest : software production export we wish to express our availability to work under the client ' s brand . please don ' t hesitate to send us your specific inquiry / offering demand . we ' ll be happy to provide you the lowest prices in the field . thanking you for your time and looking forward to your reply , we wish you all the best . i . q . software staff avfs mailing list avfs @ csibe . fazekas . hu","1","spam","[ avfs ] romanian software production & export","to : avfs @ fazekas . hu attn : marketing department from : i . q . software - bucharest ref . : romanian software production & export our anti - spamming company policy : never bother you again to remove your e - mail address from the present contact list just do not reply to this message . if you receive this message by mistake and / or you are not interested in the following brief presentation , please accept our apologies . this is a world - wide promotion campaign . the selected e - mail addresses are extracted only from the commercial websites of the targeted markets . we would like to offer you for consideration our brief presentation . we are looking for a marketplace in your country . to communicate with us please reply using the plain text format in the body of the message > > > mentioning your specific inquiry / offering demand > > company name , address , phone - man - power ; - data - entry ; - mapdrawing ; - outsourcing . * so that you would be able to have an idea of our skills we present you some of our current projects : the situs system ( informative of tribunals bureaus of supervision ) was realized for informative administration of activities typical for tribunals and bureaus of supervision for ministry of justice - italy ( microsoft visual basic 6 . 0 , database : oracle 8 . 0 ) . the ice system foresaw the resigtering of the italian - romanian companies on romanian territory . the application is constituted by a browser which allows the navigation and provides some additional skills , advanced search on varied criterious which are created in a dynamic way by the user ( visualbasic 6 . 0 , database : access 97 ) . museum - the main request from the museum was to handle ( multimedia ) documents in specific formats on different operating system and platforms ( c + + , html , corba idl , orb : orbacus ) . library ( national library of firenze ) - informatical system for managing and labeling the ancient bibliographical materials ( power builder , database : oracle ) . interflora - communication and management system ; consists in some applications and services which allows the communication between the flowerist man from italy and international association of flowerists ( visual basic 6 . 0 ) . audit office - the realization of a porting which foresaw 16 bit controls for substitution with 32 bit controls , introduction of new activex controls , substitution of formula 1 with native controls of visual basic 6 . 0 . unico - the program foresaw the possibility of acquisition from images of more than 60 models of unico and iva ( fiscal declarations ) - ( delphi 4 . 0 . database : sql ) . ministry of finance - fiscal documentation - the objective is the easy access to the italian legislation and its consulting . the application based on a client / server architecture , using a network communication ( sockets ) for data exchange with the server ( visual c + + ) . foreign ministry - economical application - this application is conceived as a group of projects . administration balance - sheets dispositions of payment foreign expenses synthetically dates servers ( visual basic 6 . 0 , database : sql server 7 . 0 ) sogei - the administration of the custom houses . this application is created for the financial administration of the peripherical offices at the customhouse ( java , html , database : oracle 8 . 0 ) . iccrea - application of processing development of the bank - procedures on mainframe ( cobol / cics / db 2 ) . telecom - microfilm data acquisition . registering numbers and subscribers . anagrafica - acquisition from images of dates and personal information . italian ministry of finance - data acquisition from images of medical prescription . iq register - acquisition of information from images and optics archives of documentation . * we had been offering for the entire veneto region , the following professional system engineers : ambiente bull gcos 8 : systematical and special assistance in interel rfm , sql , infoedge . ambiente bull / reti : systematical and special assistance of regional networks for datanet , l . a . n . , x . 25 , dsa , mainway transmission , telematical networks . ambiente unix : 2 unix system operators with knowledge of gcos 6 . * we have been offering for the meteorology institute of padova the following professional system engineers : ambiente digital / unix : systematical and special assistance for dec vax / vms and unix systems with strong enough knowledge of informix and c programming . ambiente / decnet / windows : systematical and special assistance for dec vax / vms and windows with knowledge in financial administration of local networks , in financial administration and configuration of communication systems ( router , bridge , gateway , etc ) and of products of exchange data , in financial administration and configuration of interface systems of internet . therefore , to increase our presence to the international market we took part in the inter - governmental program between the united states and romania . thus , we participated to the international meeting of both romanian and american it companies on lst november 2001 due to the kind initiative of both governments . the reason of this program , of the meeting mentioned above and of the initiatives that followed was to offer a new way for outsourcing , more convenient than the indian one to american software companies . our company , already present on american market , is interested to be a potential partner and one of most interested in cooperating with american it companies . our main interest is both on the american and european market . our managing staff after visiting italy managed to establish relations with this country for our curent projects . on the other side a marketing tour has already been established in the usa in the month of may for any possible projects . that is why we might be able to directly discuss with you any new project . we ' d appreciate your feed - back containing detailed contact coordinates : company name , address , phone and fax numbers , contact person , web - site . our area of interest : software production export we wish to express our availability to work under the client ' s brand . please don ' t hesitate to send us your specific inquiry / offering demand . we ' ll be happy to provide you the lowest prices in the field . thanking you for your time and looking forward to your reply , we wish you all the best . i . q . software staff avfs mailing list avfs @ csibe . fazekas . hu","2002-04-21","6592","1195","0","0","0","0","12","1","46","1"
"5458","fortune most admired ranking congratulations ! for an unprecedented five years in a row , enron has been ranked the "" most innovative company in america "" by fortune magazine . in addition , for the first time , enron has also been ranked # 1 in "" quality of management , "" topping general electric and omnicom group , and our "" employee talent "" has been ranked # 2 , behind goldman sachs and ahead of cisco systems . america ' s most admired management team is paired with the best and brightest employee talent . that winning combination has led to enron ' s five - year "" most innovative "" sweep . the "" most admired "" list will appear in fortune ' s feb . 21 issue , available on newsstands feb . 8 . you are the reason we have achieved such consistent recognition . you bring the innovative ideas to enron and create new business opportunities . you contribute to our quality management team . and you are the outstanding employee talent that makes enron such an exciting and successful company . keep up your outstanding work , and we look forward to even greater achievements in 2000 !","0","ham","fortune most admired ranking","congratulations ! for an unprecedented five years in a row , enron has been ranked the "" most innovative company in america "" by fortune magazine . in addition , for the first time , enron has also been ranked # 1 in "" quality of management , "" topping general electric and omnicom group , and our "" employee talent "" has been ranked # 2 , behind goldman sachs and ahead of cisco systems . america ' s most admired management team is paired with the best and brightest employee talent . that winning combination has led to enron ' s five - year "" most innovative "" sweep . the "" most admired "" list will appear in fortune ' s feb . 21 issue , available on newsstands feb . 8 . you are the reason we have achieved such consistent recognition . you bring the innovative ideas to enron and create new business opportunities . you contribute to our quality management team . and you are the outstanding employee talent that makes enron such an exciting and successful company . keep up your outstanding work , and we look forward to even greater achievements in 2000 !","2000-02-07","1093","206","0","2","0","0","1","1","28","1"
"11027","localized software , all languages available . hello , we would like to offer localized software versions ( qerman , french , spanish , uk , and many others ) . ail iisted software is availabie for immediate downioad ! no need to wait 2 - 3 week for cd deiivery ! just few examples : - norton lnternet security pro 2005 - $ 29 . 95 - windows xp professional with sp 2 fuii version - $ 59 . 95 - corel draw graphics suite 12 - $ 49 . 95 - dreamweaver mx 2004 ( homesite 5 . 5 inciuding ) - $ 39 . 95 - macromedia studio mx 2004 - $ 119 . 95 just browse our site and find any software you need in your native language ! best regards , ava","1","spam","localized software , all languages available .","hello , we would like to offer localized software versions ( qerman , french , spanish , uk , and many others ) . ail iisted software is availabie for immediate downioad ! no need to wait 2 - 3 week for cd deiivery ! just few examples : - norton lnternet security pro 2005 - $ 29 . 95 - windows xp professional with sp 2 fuii version - $ 59 . 95 - corel draw graphics suite 12 - $ 49 . 95 - dreamweaver mx 2004 ( homesite 5 . 5 inciuding ) - $ 39 . 95 - macromedia studio mx 2004 - $ 119 . 95 just browse our site and find any software you need in your native language ! best regards , ava","2005-07-22","636","137","0","3","5","0","2","1","46","1"
